strat_id,init_cash,buy_prop,sell_prop,macd.fast_period,macd.slow_period,macd.signal_period,macd.sma_period,macd.dir_period,final_value,total,win_rate,won,lost,won_avg,won_avg_prcnt,lost_avg,lost_avg_prcnt,won_max,won_max_prcnt,lost_max,lost_max_prcnt
100,1000000,1,1,5,16,18,5,14,1765104.47,96,0.572916667,55,41,65938.80598,6.593880598,-69793.4112,-6.97934112,337498,33.7498,-650797.4404,-65.07974404
66,1000000,1,1,5,10,18,10,7,1763848.794,113,0.592920354,67,46,53442.59065,5.344259065,-61234.88651,-6.123488651,223824.6094,22.38246094,-465505.2607,-46.55052607
111,1000000,1,1,8,10,9,10,7,1763620.188,114,0.561403509,64,50,56954.15526,5.695415526,-57628.91496,-5.762891496,220094.1992,22.00941992,-413992.1436,-41.39921436
82,1000000,1,1,5,13,18,5,14,1761785.176,98,0.551020408,54,44,67242.72271,6.724272271,-65211.86024,-6.521186024,398617.5156,39.86175156,-614073.3838,-61.40733838
74,1000000,1,1,5,13,9,5,21,1761140.567,71,0.661971831,47,24,65707.86949,6.570786949,-96963.72078,-9.696372078,253667.8906,25.36678906,-360319.1484,-36.03191484
104,1000000,1,1,5,16,18,10,21,1746657.88,65,0.630769231,41,24,79376.94893,7.937694893,-104491.5428,-10.44915428,355578.25,35.557825,-507184.2061,-50.71842061
92,1000000,1,1,5,16,9,5,21,1744789.078,71,0.661971831,47,24,63102.41147,6.310241147,-92542.67753,-9.254267753,242476.6602,24.24766602,-341016.3369,-34.10163369
103,1000000,1,1,5,16,18,10,14,1741678.121,85,0.623529412,53,32,68240.8209,6.82408209,-89846.41833,-8.984641833,349551.5,34.95515,-634496.4082,-63.44964082
58,1000000,1,1,5,10,9,10,14,1733018.415,79,0.696202532,55,24,57815.37221,5.781537221,-101951.1274,-10.19511274,280379,28.0379,-474091.209,-47.4091209
156,1000000,1,1,8,16,18,10,7,1730470.039,98,0.530612245,52,46,57701.41233,5.770141233,-49347.90005,-4.934790005,346133.9883,34.61339883,-427437.9434,-42.74379434
19,1000000,1,1,3,13,9,5,14,1723458.987,103,0.640776699,66,37,48826.72502,4.882672502,-67543.37471,-6.754337471,207595.0078,20.75950078,-401996.3086,-40.19963086
45,1000000,1,1,3,16,18,5,7,1716611.962,130,0.492307692,64,66,55838.87474,5.583887474,-43289.03063,-4.328903063,363026.666,36.3026666,-243081.5273,-24.30815273
21,1000000,1,1,3,13,9,10,7,1714856.968,114,0.675438596,77,37,49235.89175,4.923589175,-83143.42425,-8.314342425,245339.5547,24.53395547,-402573.1816,-40.25731816
20,1000000,1,1,3,13,9,5,21,1713457.112,78,0.692307692,54,24,57133.69262,5.713369262,-98823.42871,-9.882342871,220176.5234,22.01765234,-307676.375,-30.7676375
122,1000000,1,1,8,10,18,10,21,1709265.044,63,0.634920635,40,23,79648.97278,7.964897278,-107682.3421,-10.76823421,355578.25,35.557825,-514428.1367,-51.44281367
153,1000000,1,1,8,16,18,5,7,1709264.199,55,0.563636364,31,23,66496.70691,6.649670691,-54843.89113,-5.484389113,326904.3223,32.69043223,-182475.0996,-18.24750996
112,1000000,1,1,8,10,9,10,14,1708657.679,85,0.658823529,56,29,54391.91724,5.439191724,-80596.19609,-8.059619609,231285.4297,23.12854297,-421091.625,-42.1091625
157,1000000,1,1,8,16,18,10,14,1707634.215,81,0.604938272,49,32,65501.53783,6.550153783,-78185.66058,-7.818566058,339724.0996,33.97240996,-425643.1143,-42.56431143
6,1000000,1,1,3,10,9,20,7,1701964.267,70,0.671428571,47,23,57644.29289,5.764429289,-87274.67387,-8.727467387,230119.4023,23.01194023,-322627.2715,-32.26272715
86,1000000,1,1,5,13,18,10,21,1687269.852,63,0.650793651,41,22,78239.4289,7.82394289,-114570.3061,-11.45703061,434208.3652,43.42083652,-521672.0674,-52.16720674
